"","CASRN","smiles"
"1","7784-30-7","[Al+3].[O-]P([O-])([O-])=O"
"2","19406-51-0","CC1=C(C=C(N)C=C1[N+]([O-])=O)[N+]([O-])=O"
"3","35572-78-2","CC1=C(C=C(C=C1N)[N+]([O-])=O)[N+]([O-])=O"
"4","131-74-8","[NH4+].[O-]C1=C(C=C(C=C1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O"
"5","192-97-2","C1=CC2=C3C=CC=C4C=CC5=CC=CC(=C2C=C1)C5=C34"
"6","243-17-4","C1C2=CC=CC=C2C2=CC3=CC=CC=C3C=C12"
"7","107-04-0","ClCCBr"
"8","1073-06-9","FC1=CC(Br)=CC=C1"
"9","460-00-4","FC1=CC=C(Br)C=C1"
"10","762-75-4","CC(C)(C)OC=O"
"11","72-54-8","ClC(Cl)C(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1"
"12","132-65-0","S1C2=C(C=CC=C2)C2=C1C=CC=C2"
"13","156-59-2","Cl\C=C/Cl"
"14","420-45-1","CC(C)(F)F"
"15","618-87-1","NC1=CC(=CC(=C1)[N+]([O-])=O)[N+]([O-])=O"
"16","111-71-7","CCCCCCC=O"
"17","319-86-8","Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H](Cl)[C@@H]1Cl"
"18","108-11-2","CC(C)CC(C)O"
"19","10159-46-3","CNP(=O)(N(C)C)N(C)C"
"20","198-55-0","C1=CC2=C3C(=C1)C1=CC=CC4=C1C(=CC=C4)C3=CC=C2"
"21","6165-52-2","CC(C1=CC=CC=C1)C1=CC=C(C)C=C1C"
"22","3717-68-8","CC(C1=CC=CC=C1)C1=CC=C(C)C=C1"
"23","88-89-1","OC1=C(C=C(C=C1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O"
"24","16853-36-4","CNP(=O)(NC)N(C)C"
"25","2687-25-4","CC1=C(N)C(N)=CC=C1"
"26","496-72-0","CC1=CC=C(N)C(N)=C1"
"27","95-55-6","NC1=C(O)C=CC=C1"
"28","98-06-6","CC(C)(C)C1=CC=CC=C1"
"29","135-98-8","CCC(C)C1=CC=CC=C1"
"30","506-68-3","BrC#N"
"31","108-36-1","BrC1=CC(Br)=CC=C1"
"32","142-82-5","CCCCCCC"
"33","993-13-5","CP(O)(O)=O"
"34","96-91-3","NC1=C(O)C(=CC(=C1)[N+]([O-])=O)[N+]([O-])=O"
"35","103-65-1","CCCC1=CC=CC=C1"
"36","528-29-0","[O-][N+](=O)C1=C(C=CC=C1)[N+]([O-])=O"
"37","100-25-4","[O-][N+](=O)C1=CC=C(C=C1)[N+]([O-])=O"
"38","463-56-9","SC#N"
"39","79-20-9","COC(C)=O"
"40","1031-07-8","ClC1=C(Cl)C2(Cl)C3COS(=O)(=O)OCC3C1(Cl)C2(Cl)Cl"
"41","113-00-8","NC(N)=N"
